id,Delta,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
1,0.038596,0.152088,0.049322,0.015904,0.036298,0.025898,0.019906,0.013010,0.033364,0.033530,0.033826,0.031707,0.035309,0.030555,0.037674,0.048650,0.042266,0.041473,0.018067,0.027885,0.010340,0.048724,0.024520,0.034399,0.044395,0.039996,0.025520,0.024400,0.024557,0.020105,0.044212,0.017050,0.018225,0.038881,0.048936,0.010418
17,0.038605,0.151749,0.049259,0.015586,0.036312,0.025545,0.019792,0.013179,0.033281,0.033670,0.033893,0.031626,0.034668,0.031411,0.038171,0.048504,0.042374,0.041928,0.017964,0.027428,0.010088,0.048525,0.024219,0.034887,0.044250,0.039800,0.025809,0.024370,0.025214,0.019927,0.044331,0.016689,0.018405,0.039198,0.048693,0.010264
10,0.038483,0.152453,0.049461,0.016338,0.036077,0.026378,0.020288,0.012810,0.033525,0.033383,0.033498,0.032145,0.035982,0.029522,0.036827,0.048874,0.041888,0.040788,0.018285,0.029555,0.010973,0.049102,0.024911,0.033824,0.044505,0.040366,0.025001,0.024527,0.023447,0.021542,0.044250,0.017441,0.017580,0.037582,0.048167,0.010619
18,0.038535,0.153047,0.049386,0.015624,0.036094,0.025576,0.020042,0.013179,0.033427,0.033658,0.033837,0.030030,0.034642,0.031124,0.037953,0.048755,0.041958,0.041771,0.017867,0.028487,0.010220,0.048637,0.024180,0.034776,0.045880,0.039595,0.025991,0.024363,0.025138,0.021363,0.042176,0.019004,0.018196,0.038304,0.047905,0.010250
8,0.038554,0.152074,0.049424,0.015802,0.036061,0.025571,0.020383,0.012806,0.033785,0.033675,0.033308,0.032424,0.034645,0.031134,0.037454,0.048657,0.041777,0.041473,0.018211,0.028110,0.010912,0.048900,0.024712,0.034920,0.043808,0.040164,0.025333,0.024587,0.024287,0.020705,0.044706,0.016702,0.017376,0.038857,0.048411,0.010347
9,0.036817,0.152324,0.049305,0.016204,0.035811,0.026170,0.019784,0.012521,0.033892,0.033593,0.033480,0.032440,0.034894,0.030405,0.036850,0.044949,0.041307,0.041409,0.017906,0.028761,0.012933,0.048792,0.025510,0.032111,0.042797,0.040391,0.024945,0.024728,0.023980,0.020849,0.045706,0.016852,0.017312,0.038856,0.049338,0.014526
7,0.038418,0.152206,0.049370,0.015846,0.036224,0.025837,0.020315,0.013105,0.033452,0.033542,0.033585,0.031860,0.034607,0.031209,0.037928,0.048681,0.042204,0.041525,0.018006,0.028618,0.010320,0.048739,0.024337,0.034409,0.044320,0.039933,0.025268,0.024382,0.024637,0.021623,0.043839,0.017428,0.018173,0.037881,0.047768,0.010396
10,0.038483,0.152453,0.049461,0.016338,0.036077,0.026378,0.020288,0.012810,0.033525,0.033383,0.033498,0.032145,0.035982,0.029522,0.036827,0.048874,0.041888,0.040788,0.018285,0.029555,0.010973,0.049102,0.024911,0.033824,0.044505,0.040366,0.025001,0.024527,0.023447,0.021542,0.044250,0.017441,0.017580,0.037582,0.048167,0.010619
20,0.036655,0.152503,0.049385,0.015683,0.036516,0.026360,0.020045,0.012512,0.033815,0.033450,0.033270,0.032588,0.035418,0.029855,0.036626,0.046277,0.041398,0.041033,0.018084,0.029136,0.012460,0.048989,0.025467,0.032518,0.043378,0.040477,0.024831,0.024695,0.023524,0.021125,0.045244,0.017142,0.017233,0.038420,0.049115,0.013313
9,0.036817,0.152219,0.049245,0.016204,0.035811,0.026170,0.019784,0.012521,0.033892,0.033593,0.033480,0.032440,0.034894,0.030405,0.036850,0.045464,0.041307,0.041409,0.017906,0.028761,0.012933,0.048792,0.025510,0.031596,0.042797,0.040391,0.024945,0.024728,0.023980,0.020849,0.045706,0.016852,0.017312,0.038856,0.049338,0.014526
